iteration;cv_mse;best_so_far_mse
1;0,12203118696262752;0,12203118696262752
2;0,0787936189406517;0,0787936189406517
3;0,045951527018565634;0,045951527018565634
4;0,01101515394397519;0,01101515394397519
5;0,008190315332848733;0,008190315332848733
6;0,00734872550513427;0,00734872550513427
7;0,005648461424025127;0,005648461424025127
8;0,004204975034973378;0,004204975034973378
9;0,004170275498056196;0,004170275498056196
10;0,0043552172723626565;0,004170275498056196
11;0,004407512228865358;0,004170275498056196
12;0,004515612262580257;0,004170275498056196
13;0,00457993197745602;0,004170275498056196
14;0,004868335965021265;0,004170275498056196
15;0,004866560332346811;0,004170275498056196
16;0,004997798996547552;0,004170275498056196
17;0,005212346426542284;0,004170275498056196
18;0,005172721467894795;0,004170275498056196
19;0,12225898241172842;0,004170275498056196
20;0,07870458544256617;0,004170275498056196
21;0,04615635120901489;0,004170275498056196
22;0,011027083267228666;0,004170275498056196
23;0,0082018666907299;0,004170275498056196
24;0,007402623823022127;0,004170275498056196
25;0,0057626504237526435;0,004170275498056196
26;0,004342136317303731;0,004170275498056196
27;0,004351548790334659;0,004170275498056196
28;0,004594319925167348;0,004170275498056196
29;0,004620463521415155;0,004170275498056196
30;0,004779871874854005;0,004170275498056196
31;0,004879001745999762;0,004170275498056196
32;0,005209243943150781;0,004170275498056196
33;0,005231534512412605;0,004170275498056196
34;0,0054184556311311265;0,004170275498056196
35;0,00569191439852364;0,004170275498056196
36;0,005629347144470317;0,004170275498056196
37;0,12233312808763397;0,004170275498056196
38;0,07868861329973137;0,004170275498056196
39;0,04595445153986958;0,004170275498056196
40;0,010979827158018951;0,004170275498056196
41;0,008187267307400256;0,004170275498056196
42;0,007354183427113958;0,004170275498056196
43;0,005628050751661734;0,004170275498056196
44;0,004194974447895477;0,004170275498056196
45;0,004151487077655312;0,004151487077655312
46;0,004343806925246529;0,004151487077655312
47;0,004394423027128395;0,004151487077655312
48;0,00450665201872634;0,004151487077655312
49;0,0045756725754061145;0,004151487077655312
50;0,004859144864007997;0,004151487077655312
51;0,0048596330372298584;0,004151487077655312
52;0,0049920614849300465;0,004151487077655312
53;0,005205576595612341;0,004151487077655312
54;0,005173562305476126;0,004151487077655312
55;0,12218497094536411;0,004151487077655312
56;0,07860630100213307;0,004151487077655312
57;0,046128365378757245;0,004151487077655312
58;0,010966859594192895;0,004151487077655312
59;0,008183648801236613;0,004151487077655312
60;0,007399264549983589;0,004151487077655312
61;0,005744983153695099;0,004151487077655312
62;0,0043295071794568814;0,004151487077655312
63;0,004337539064204772;0,004151487077655312
64;0,0045748420206963335;0,004151487077655312
65;0,004617828021751594;0,004151487077655312
66;0,004766207889355171;0,004151487077655312
67;0,0048721563937981684;0,004151487077655312
68;0,005208277014465891;0,004151487077655312
69;0,005230110911351416;0,004151487077655312
70;0,005427684813210447;0,004151487077655312
71;0,005685327736968553;0,004151487077655312
72;0,005623854516897642;0,004151487077655312
73;0,12291279858376832;0,004151487077655312
74;0,07882827827088079;0,004151487077655312
75;0,04708174241868307;0,004151487077655312
76;0,01143636994489037;0,004151487077655312
77;0,008575065517078687;0,004151487077655312
78;0,007651547343281349;0,004151487077655312
79;0,0058545813994862455;0,004151487077655312
80;0,004453197395688714;0,004151487077655312
81;0,004392772083029762;0,004151487077655312
82;0,004585930657306501;0,004151487077655312
83;0,004644924356931577;0,004151487077655312
84;0,004766895945581188;0,004151487077655312
85;0,004834141910364796;0,004151487077655312
86;0,005091983588195628;0,004151487077655312
87;0,005114684282213874;0,004151487077655312
88;0,0052539069575703035;0,004151487077655312
89;0,005468622490868222;0,004151487077655312
90;0,005470386976398469;0,004151487077655312
91;0,12246673395374548;0,004151487077655312
92;0,07860781465620933;0,004151487077655312
93;0,04715047177053656;0,004151487077655312
94;0,011210016275166244;0,004151487077655312
95;0,008389461054122952;0,004151487077655312
96;0,007510874390739183;0,004151487077655312
97;0,005810329335945236;0,004151487077655312
98;0,0044229860137944225;0,004151487077655312
99;0,004411777312645348;0,004151487077655312
100;0,004638688617777762;0,004151487077655312
101;0,0047135012792716684;0,004151487077655312
102;0,004849290678580695;0,004151487077655312
103;0,004964494620922144;0,004151487077655312
104;0,005312758125496589;0,004151487077655312
105;0,005351028470429266;0,004151487077655312
106;0,005562010106595423;0,004151487077655312
107;0,00582193639401948;0,004151487077655312
108;0,0057596489432832606;0,004151487077655312
