iteration;cv_mse;best_so_far_mse
1;0,12517078004044477;0,12517078004044477
2;0,10728877537693013;0,10728877537693013
3;0,06852394861049839;0,06852394861049839
4;0,03849954186885034;0,03849954186885034
5;0,03809984541463985;0,03809984541463985
6;0,037315732285434965;0,037315732285434965
7;0,03652443587684198;0,03652443587684198
8;0,036485169586696085;0,036485169586696085
9;0,03650266708122091;0,036485169586696085
10;0,03651815963480981;0,036485169586696085
11;0,036460014937272994;0,036460014937272994
12;0,03656544633167093;0,036460014937272994
13;0,03659225126444461;0,036460014937272994
14;0,036617651853028024;0,036460014937272994
15;0,036617651853027997;0,036460014937272994
16;0,03662508808553252;0,036460014937272994
17;0,03662508808553252;0,036460014937272994
18;0,031085934321805998;0,031085934321805998
