Model;Dataset;Num_Features;MAE;MSE;RMSE;RSR;MAPE;sMAPE;R2;EVS;MBE;CV(RMSE)%;MdAE;MaxE;NSE;KGE;CCC;VAF(%);PI;Best_Params
MLP;Train;8;0,0463;0,0038;0,0616;0,1534;3,7465;3,7453;0,9764;0,9764;-0,0011;4,6399;0,0369;0,3412;0,9764;0,9734;0,9879;97,6446;15,8431;{'validation_fraction': 0.2, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'early_stopping': True, 'alpha': 0.0001, 'activation': 'tanh'}
MLP;Test;8;0,0512;0,0044;0,0664;0,1618;4,0885;4,0944;0,9738;0,9739;0,0037;5,014;0,0403;0,2717;0,9738;0,9815;0,9867;97,3853;14,658;{'validation_fraction': 0.2, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'early_stopping': True, 'alpha': 0.0001, 'activation': 'tanh'}
MLP;Unseen;8;0,0777;0,0112;0,1059;0,2399;5,8002;6,0869;0,9422;0,9647;-0,0662;7,6624;0,0597;0,4078;0,9422;0,9183;0,9696;96,4745;8,8928;{'validation_fraction': 0.2, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'early_stopping': True, 'alpha': 0.0001, 'activation': 'tanh'}
SVM;Train;8;0,0508;0,0037;0,0605;0,1507;4,2755;4,2253;0,9773;0,9775;0,0065;4,5568;0,047;0,1219;0,9773;0,9771;0,9884;97,7533;16,1457;{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.1, 'C': 10}
SVM;Test;8;0,058;0,0056;0,075;0,1826;4,692;4,6425;0,9666;0,9672;0,0104;5,659;0,0486;0,2887;0,9666;0,981;0,9834;96,7236;12,8915;{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.1, 'C': 10}
SVM;Unseen;8;0,0722;0,0091;0,0956;0,2164;5,3312;5,5028;0,9529;0,9652;-0,0489;6,914;0,0543;0,3523;0,9529;0,9291;0,9752;96,5232;9,9678;{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.1, 'C': 10}
kNN;Train;5;0,0109;0,0008;0,028;0,0698;0,9647;0,9604;0,9951;0,9951;0,0;2,1114;0,0;0,2373;0,9951;0,9965;0,9976;99,5121;35,4829;{'weights': 'distance', 'p': 1, 'n_neighbors': 5}
kNN;Test;5;0,0701;0,0086;0,0926;0,2254;5,5403;5,488;0,9491;0,9492;0,0039;6,9857;0,0555;0,3596;0,9491;0,9552;0,9736;94,9177;10,2542;{'weights': 'distance', 'p': 1, 'n_neighbors': 5}
kNN;Unseen;5;0,0837;0,0132;0,1147;0,2597;6,0837;6,287;0,9322;0,9425;-0,0447;8,2965;0,0627;0,5164;0,9322;0,9097;0,9635;94,2503;8,1262;{'weights': 'distance', 'p': 1, 'n_neighbors': 5}
DT;Train;5;0,0468;0,004;0,0631;0,1571;3,732;3,7191;0,9753;0,9753;-0,0;4,7491;0,0348;0,2934;0,9753;0,9824;0,9875;97,5316;15,4611;{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 10}
