iteration;cv_mse;best_so_far_mse
1;0,12225054975947422;0,12225054975947422
2;0,09015259538337915;0,09015259538337915
3;0,05864041720741399;0,05864041720741399
4;0,013233206435945933;0,013233206435945933
5;0,010463312713833084;0,010463312713833084
6;0,01093154950458882;0,010463312713833084
7;0,01245174596878976;0,010463312713833084
8;0,014235819322210427;0,010463312713833084
9;0,010911805181803427;0,010463312713833084
10;0,013080906207615636;0,010463312713833084
11;0,015469968712389029;0,010463312713833084
12;0,01787443516120942;0,010463312713833084
13;0,02022904967704058;0,010463312713833084
14;0,02156302161261124;0,010463312713833084
15;0,02462058997427813;0,010463312713833084
16;0,020232430068301648;0,010463312713833084
17;0,022181196838854084;0,010463312713833084
18;0,024193211018550796;0,010463312713833084
19;0,12225054975947414;0,010463312713833084
20;0,09016707823248007;0,010463312713833084
21;0,05869462367412154;0,010463312713833084
22;0,013315945403148153;0,010463312713833084
23;0,010286455897385494;0,010286455897385494
24;0,010946148933162668;0,010286455897385494
25;0,012194161150820306;0,010286455897385494
26;0,014134029583016777;0,010286455897385494
27;0,010982248582328338;0,010286455897385494
28;0,012831814651594947;0,010286455897385494
29;0,015180219617929041;0,010286455897385494
30;0,01736655384817794;0,010286455897385494
31;0,01984523299137557;0,010286455897385494
32;0,021574162728666114;0,010286455897385494
33;0,02454726379253254;0,010286455897385494
34;0,020084322371293383;0,010286455897385494
35;0,021865263895572248;0,010286455897385494
36;0,02382808583708698;0,010286455897385494
37;0,12225054975947425;0,010286455897385494
38;0,08295294139318532;0,010286455897385494
39;0,05033165158041657;0,010286455897385494
40;0,012317635825195931;0,010286455897385494
41;0,010173295701655923;0,010173295701655923
42;0,012395771266994543;0,010173295701655923
43;0,014835510845157468;0,010173295701655923
44;0,016657822279655655;0,010173295701655923
45;0,012440111095246871;0,010173295701655923
46;0,01530403493143393;0,010173295701655923
47;0,016957325412509192;0,010173295701655923
48;0,01987302201251434;0,010173295701655923
49;0,022226755436952926;0,010173295701655923
50;0,023022383152551056;0,010173295701655923
51;0,026508249078937413;0,010173295701655923
52;0,02175761840409336;0,010173295701655923
53;0,023648235902651284;0,010173295701655923
54;0,02490190561886007;0,010173295701655923
55;0,12225054975947414;0,010173295701655923
56;0,08274414051560772;0,010173295701655923
57;0,05039013249172401;0,010173295701655923
58;0,012151888582708565;0,010173295701655923
59;0,010040168048383355;0,010040168048383355
60;0,012580370698161623;0,010040168048383355
61;0,014682674135970766;0,010040168048383355
62;0,01675037777110025;0,010040168048383355
63;0,012681658035425453;0,010040168048383355
64;0,01501994343944361;0,010040168048383355
65;0,016774404352596133;0,010040168048383355
66;0,01918997921479139;0,010040168048383355
67;0,02171780503592431;0,010040168048383355
68;0,023048638340460725;0,010040168048383355
69;0,026986357360220516;0,010040168048383355
70;0,021393560622950097;0,010040168048383355
71;0,023297311196090895;0,010040168048383355
72;0,025011307665156707;0,010040168048383355
73;0,12225054975947425;0,010040168048383355
74;0,07983963164022183;0,010040168048383355
75;0,047822687956868073;0,010040168048383355
76;0,013150791286863635;0,010040168048383355
77;0,012273722855786045;0,010040168048383355
78;0,014869330469720565;0,010040168048383355
79;0,017549687203177167;0,010040168048383355
80;0,019833764619727613;0,010040168048383355
81;0,01440137422205957;0,010040168048383355
82;0,016999987843236176;0,010040168048383355
83;0,019577942162671284;0,010040168048383355
84;0,021914216025270807;0,010040168048383355
85;0,024027820898391714;0,010040168048383355
86;0,02527018424394869;0,010040168048383355
87;0,028648495152716568;0,010040168048383355
88;0,02354769309836774;0,010040168048383355
89;0,025098073581248288;0,010040168048383355
90;0,02737333796917904;0,010040168048383355
91;0,12225054975947414;0,010040168048383355
92;0,07972882407727673;0,010040168048383355
93;0,0478563949248514;0,010040168048383355
94;0,013157589947762643;0,010040168048383355
95;0,012107104952674391;0,010040168048383355
96;0,015010951333774215;0,010040168048383355
97;0,01726955004248389;0,010040168048383355
98;0,020070617368266395;0,010040168048383355
99;0,014449942260348347;0,010040168048383355
100;0,016759967862660728;0,010040168048383355
101;0,019020537426779685;0,010040168048383355
102;0,02165110738937752;0,010040168048383355
103;0,023598747506144102;0,010040168048383355
104;0,025495693564782908;0,010040168048383355
105;0,028824350316436747;0,010040168048383355
106;0,02321254846454939;0,010040168048383355
107;0,024914913954408605;0,010040168048383355
108;0,027297038235589266;0,010040168048383355
109;0,12225054975947425;0,010040168048383355
110;0,07972611149442894;0,010040168048383355
111;0,04782956516609131;0,010040168048383355
112;0,013214699065598847;0,010040168048383355
113;0,01216075481061452;0,010040168048383355
114;0,014981619445579287;0,010040168048383355
115;0,017790358520578538;0,010040168048383355
116;0,020074104484108506;0,010040168048383355
