iteration;cv_mse;best_so_far_mse
1;0,12203118696262752;0,12203118696262752
2;0,0787936189406517;0,0787936189406517
3;0,045951527018565634;0,045951527018565634
4;0,01101515394397519;0,01101515394397519
5;0,008190315332848733;0,008190315332848733
6;0,00734872550513427;0,00734872550513427
7;0,005648461424025127;0,005648461424025127
8;0,004204975034973378;0,004204975034973378
9;0,004170275498056196;0,004170275498056196
10;0,0043552172723626565;0,004170275498056196
11;0,004407512228865358;0,004170275498056196
12;0,0045156122625802575;0,004170275498056196
13;0,00457993197745602;0,004170275498056196
14;0,004868335965021264;0,004170275498056196
15;0,004866560332346811;0,004170275498056196
16;0,004997798996547552;0,004170275498056196
17;0,005212346426542283;0,004170275498056196
18;0,005172721467894797;0,004170275498056196
19;0,12225898241172842;0,004170275498056196
20;0,07870458544256617;0,004170275498056196
21;0,04615635120901489;0,004170275498056196
22;0,011027083267228666;0,004170275498056196
23;0,0082018666907299;0,004170275498056196
24;0,007402623823022127;0,004170275498056196
25;0,0057626504237526435;0,004170275498056196
26;0,004342136317303731;0,004170275498056196
27;0,004351548790334659;0,004170275498056196
28;0,004594319925167354;0,004170275498056196
29;0,004620463521415158;0,004170275498056196
30;0,004779871874854004;0,004170275498056196
31;0,0048790017459997646;0,004170275498056196
32;0,00520924394315078;0,004170275498056196
33;0,005231534512412603;0,004170275498056196
34;0,0054184556311311265;0,004170275498056196
35;0,005691914398523633;0,004170275498056196
36;0,005629347144470316;0,004170275498056196
37;0,12233312808763397;0,004170275498056196
38;0,07868861329973137;0,004170275498056196
39;0,04595445153986958;0,004170275498056196
40;0,010979827158018951;0,004170275498056196
41;0,008187267307400256;0,004170275498056196
42;0,007354183427113958;0,004170275498056196
43;0,005628050751661734;0,004170275498056196
44;0,004194974447895477;0,004170275498056196
45;0,004151487077655312;0,004151487077655312
46;0,004343806925246529;0,004151487077655312
47;0,004394423027128394;0,004151487077655312
48;0,004506652018726338;0,004151487077655312
49;0,004575672575406116;0,004151487077655312
50;0,004859144864008;0,004151487077655312
51;0,004859633037229858;0,004151487077655312
52;0,0049920614849300465;0,004151487077655312
53;0,0052055765956123415;0,004151487077655312
54;0,005173562305476125;0,004151487077655312
55;0,12218497094536411;0,004151487077655312
56;0,07860630100213307;0,004151487077655312
57;0,046128365378757245;0,004151487077655312
58;0,010966859594192895;0,004151487077655312
59;0,008183648801236613;0,004151487077655312
60;0,007399264549983589;0,004151487077655312
61;0,005744983153695099;0,004151487077655312
62;0,0043295071794568814;0,004151487077655312
63;0,004337539064204773;0,004151487077655312
64;0,004574842020696334;0,004151487077655312
65;0,004617828021751596;0,004151487077655312
66;0,004766207889355169;0,004151487077655312
67;0,00487215639379817;0,004151487077655312
68;0,005208277014465893;0,004151487077655312
69;0,005230110911351417;0,004151487077655312
70;0,005427684813210447;0,004151487077655312
71;0,005685327736968551;0,004151487077655312
72;0,005623854516897644;0,004151487077655312
73;0,12291279858376832;0,004151487077655312
74;0,07882827827088079;0,004151487077655312
75;0,04708174241868307;0,004151487077655312
76;0,01143636994489037;0,004151487077655312
77;0,008575065517078687;0,004151487077655312
78;0,007651547343281349;0,004151487077655312
79;0,0058545813994862455;0,004151487077655312
80;0,004453197395688714;0,004151487077655312
81;0,004392772083029762;0,004151487077655312
82;0,0045859306573065;0,004151487077655312
83;0,004644924356931578;0,004151487077655312
84;0,004766895945581188;0,004151487077655312
85;0,004834141910364797;0,004151487077655312
86;0,005091983588195627;0,004151487077655312
87;0,005114684282213874;0,004151487077655312
88;0,005253906957570304;0,004151487077655312
89;0,005468622490868221;0,004151487077655312
90;0,005470386976398468;0,004151487077655312
91;0,12246673395374548;0,004151487077655312
92;0,07860781465620933;0,004151487077655312
93;0,04715047177053656;0,004151487077655312
94;0,011210016275166244;0,004151487077655312
95;0,008389461054122952;0,004151487077655312
96;0,007510874390739183;0,004151487077655312
97;0,005810329335945236;0,004151487077655312
98;0,0044229860137944225;0,004151487077655312
99;0,004411777312645348;0,004151487077655312
100;0,004638688617777763;0,004151487077655312
101;0,004713501279271669;0,004151487077655312
102;0,004849290678580694;0,004151487077655312
103;0,004964494620922147;0,004151487077655312
104;0,0053127581254965904;0,004151487077655312
105;0,005351028470429266;0,004151487077655312
106;0,005562010106595421;0,004151487077655312
107;0,005821936394019478;0,004151487077655312
108;0,005759648943283261;0,004151487077655312
