iteration;cv_mse;best_so_far_mse
1;0,12512171983153314;0,12512171983153314
2;0,10701391390074262;0,10701391390074262
3;0,068571412417434;0,068571412417434
4;0,03842456127267365;0,03842456127267365
5;0,038029903577178004;0,038029903577178004
6;0,0371646300796961;0,0371646300796961
7;0,036587411125949196;0,036587411125949196
8;0,03649686617623103;0,03649686617623103
9;0,036527556253251395;0,03649686617623103
10;0,03664716032234265;0,03649686617623103
11;0,0365590648206905;0,03649686617623103
12;0,036999268223441614;0,03649686617623103
13;0,036803476581561155;0,03649686617623103
14;0,036881665513621584;0,03649686617623103
15;0,03694616382706921;0,03649686617623103
16;0,036917014629126554;0,03649686617623103
17;0,037035770379732026;0,03649686617623103
18;0,03140079362351552;0,03140079362351552
19;0,1252214001336848;0,03140079362351552
20;0,10721083683188412;0,03140079362351552
21;0,06858547633470904;0,03140079362351552
22;0,03853272597954948;0,03140079362351552
23;0,03817888036155978;0,03140079362351552
24;0,03734595279385428;0,03140079362351552
25;0,03662887782606814;0,03140079362351552
26;0,036408682812637844;0,03140079362351552
27;0,036656789234627195;0,03140079362351552
28;0,03642845120593032;0,03140079362351552
29;0,0366142791763382;0,03140079362351552
30;0,036653916364341364;0,03140079362351552
31;0,03671826748175647;0,03140079362351552
32;0,03655942599979897;0,03140079362351552
33;0,036843249717624996;0,03140079362351552
34;0,036653528493634235;0,03140079362351552
35;0,036562329987411005;0,03140079362351552
36;0,03131269788755353;0,03131269788755353
37;0,1251113175508701;0,03131269788755353
38;0,10720562996495894;0,03131269788755353
39;0,06874253517041763;0,03131269788755353
40;0,038509426840194115;0,03131269788755353
41;0,03802626284947492;0,03131269788755353
42;0,03728883269445688;0,03131269788755353
43;0,03650377425085856;0,03131269788755353
44;0,03662067720381066;0,03131269788755353
45;0,036502229042848035;0,03131269788755353
46;0,036583443294312346;0,03131269788755353
47;0,03646091005512398;0,03131269788755353
48;0,03668647694491982;0,03131269788755353
49;0,03669025559775861;0,03131269788755353
50;0,03678649857929177;0,03131269788755353
51;0,03667626083212692;0,03131269788755353
52;0,03687820854886899;0,03131269788755353
53;0,03668214818015935;0,03131269788755353
54;0,03126093158898831;0,03126093158898831
55;0,12518932178803377;0,03126093158898831
56;0,10726735241177343;0,03126093158898831
57;0,06863175679407987;0,03126093158898831
58;0,03846207769982508;0,03126093158898831
59;0,038091099012841384;0,03126093158898831
60;0,03730420928727031;0,03126093158898831
61;0,03652279139182084;0,03126093158898831
62;0,036479528499758516;0,03126093158898831
63;0,03649841279326739;0,03126093158898831
64;0,03648238152578768;0,03126093158898831
65;0,03652398589820207;0,03126093158898831
66;0,03656253659439562;0,03126093158898831
67;0,03661746976841248;0,03126093158898831
68;0,036761457840766024;0,03126093158898831
69;0,036649080512286394;0,03126093158898831
70;0,03673486175598858;0,03126093158898831
71;0,036669220500953295;0,03126093158898831
72;0,03109712487151778;0,03109712487151778
